City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Saldanha,-33.0117,17.9442,13.03,79,0,5.42,ZA,1645069635
143,General Roca,-39.0333,-67.5833,23.22,26,1,8.95,AR,1645069636
144,Camocim,-2.9022,-40.8411,24.42,86,100,2.88,BR,1645069636
145,Kashary,49.04,41.0056,-4.1,96,25,2.58,RU,1645069636
146,Brigantine,39.4101,-74.3646,10.08,83,0,5.14,US,1645069637
147,Okhotsk,59.3833,143.3,-10.85,73,48,5.18,RU,1645069638
148,Longyearbyen,78.2186,15.6401,-11.09,73,40,2.57,SJ,1645069638
149,Katsuura,35.1333,140.3,9.5,32,81,8.68,JP,1645069639
150,Port Blair,11.6667,92.75,28.02,83,75,2.06,IN,1645069640
151,Cúcuta,7.8833,-72.5053,25.97,69,75,1.03,CO,1645069640
152,Yulara,-25.2406,130.9889,33.91,27,0,5.14,AU,1645069641
153,Pemangkat,1.1667,108.9667,29.37,69,63,3.73,ID,1645069641
154,Normandin,48.8333,-72.5321,0.79,80,100,8.75,CA,1645069642
155,Tasiilaq,65.6145,-37.6368,-3.91,81,100,7.49,GL,1645069642
156,Puerto Gaitán,4.3133,-72.0816,29.14,40,61,3.73,CO,1645069643
157,Sainte-Rose,16.3324,-61.6979,24.02,78,20,2.57,GP,1645069643
158,Luau,-10.7073,22.2247,17.08,99,100,0.76,AO,1645069644
159,Fuxin,42.0156,121.6589,-8.02,43,0,1.26,CN,1645069644
160,Tuktoyaktuk,69.4541,-133.0374,-33.0,68,75,6.17,CA,1645069648
161,Vráble,48.2437,18.3085,6.48,92,100,5.22,SK,1645069648
162,Guntakal,15.1667,77.3833,26.22,42,25,3.83,IN,1645069649
163,Sarakhs,36.5449,61.1577,-1.92,59,0,1.03,IR,1645069649
164,Porto Walter,-8.2686,-72.7439,22.24,99,100,0.96,BR,1645069650
